book_num,sentence
4,"['so', 'even', 'bewitched', 'door', 'alohomora', 'work', 'i', 'bet']"
4,"['and', 'umbridge', 'could', 'say', 'word', 'raised', 'wands', 'said', 'together', 'accio', 'brooms']"
4,"['reparo', 'said', 'hermione', 'quickly', 'mending', 'ron', 'cup', 'wave', 'wand']"
4,"['they', 'murmured', 'lumos', 'wand', 'tips', 'ignited']"
4,"['expecto', 'patronum']"
4,"['harry', 'saw', 'longfingered', 'white', 'hand', 'clutching', 'wand', 'rise', 'end', 'arm', 'heard', 'high', 'cold', 'voice', 'say', 'crucio']"
4,"['be', 'quiet', 'shouted', 'hermione', 'late', 'umbridge', 'pointed', 'wand', 'magorian', 'screamed', 'incarcerous']"
4,['flagrate']
4,"['she', 'pointed', 'wand', 'place', 'lock', 'would', 'ordinary', 'door', 'said', 'alohomora']"
4,"['the', 'words', 'hardly', 'mouth', 'female', 'death', 'eater', 'shrieked', 'accio', 'proph']"
4,"['he', 'shouted', 'protego', 'finished', 'spell', 'though', 'glass', 'sphere', 'slipped', 'tips', 'fingers', 'managed', 'cling']"
4,"['five', 'different', 'voices', 'behind', 'bellowed', 'reducto', 'five', 'curses', 'flew', 'five', 'different', 'directions', 'shelves', 'opposite', 'exploded', 'hit']"
4,"['something', 'heavy', 'struck', 'side', 'face', 'merely', 'ducked', 'head', 'sprinted', 'onward', 'hand', 'caught', 'shoulder', 'heard', 'hermione', 'shout', 'stupefy', 'hand', 'released']"
4,"['colloportus', 'gasped', 'hermione', 'door', 'sealed', 'odd', 'squelching', 'noise']"
4,['alohomora']
4,"['poking', 'wand', 'desk', 'shouted', 'stupefy']"
4,['avada']
4,"['neville', 'overturned', 'desk', 'anxiety', 'help', 'pointing', 'wand', 'wildly', 'struggling', 'pair', 'cried', 'expelliarmus']"
4,"['harry', 'flung', 'sideways', 'neville', 'took', 'aim', 'shouted', 'stupefy']"
4,"['stupefy', 'screamed', 'hermione', 'caught']"
4,"['accio', 'wand', 'cried', 'hermione']"
4,"['with', 'cry', 'triumph', 'yelled', 'impedimenta']"
4,"['silencio', 'cried', 'hermione', 'man', 'voice', 'extinguished']"
4,"['petrificus', 'totalus', 'shouted', 'harry', 'second', 'death', 'eater', 'raised', 'wand']"
4,"['harry', 'seized', 'chance', 'petrificus', 'totalus']"
4,"['colloportus', 'shouted', 'harry', 'heard', 'three', 'bodies', 'slam', 'door', 'side']"
4,['colloportus']
4,"['honest', 'harry', 'brains', 'look', 'accio', 'brain']"
4,"['diffindo', 'yelled', 'harry', 'trying', 'sever', 'feelers', 'wrapping', 'tightly', 'around', 'ron', 'eyes', 'would', 'break']"
4,['crucio']
4,"['the', 'man', 'relinquished', 'harry', 'howl', 'pain', 'harry', 'whirled', 'around', 'face', 'gasped', 'stupefy']"
4,"['tarantallegra', 'shouted', 'wand', 'pointing', 'neville', 'whose', 'legs', 'went', 'immediately', 'kind', 'frenzied', 'tap', 'dance', 'unbalancing', 'causing', 'fall', 'floor']"
4,"['he', 'made', 'slashing', 'movement', 'wand', 'used', 'hermione', 'harry', 'yelled', 'protego']"
4,"['accio', 'proph']"
4,"['springing', 'harry', 'yelled', 'petrificus', 'totalus', 'once', 'dolohov', 'arms', 'legs', 'snapped', 'together', 'keeled', 'backward', 'landing', 'crash', 'back']"
4,"['malfoy', 'pointed', 'wand', 'instead', 'neville', 'harry', 'jabbed', 'wand', 'back', 'shoulder', 'yelled', 'impedimenta']"
4,"['here', 'said', 'lupin', 'quietly', 'pointing', 'wand', 'neville', 'legs', 'said', 'finite', 'the', 'spell', 'lifted']"
4,"['the', 'brains', 'slipped', 'slid', 'began', 'spinning', 'long', 'colored', 'tentacles', 'shouted', 'wingardium', 'leviosa', 'flew', 'air', 'away']"
4,"['he', 'flung', 'behind', 'fountain', 'bellowed', 'crucio']"
